    0       0		0	0 	0	0	
   -0.42   -0.45	0.42	0.45	0.4	0.6
   -0.26   -0.22	0.68	0.67	0.5	0.7
   -0.67    0.34	1.35	0.33	1.2	0.4
   -0.20    0.06	1.55	0.27	1.3	0.3
   -0.24   -0.99	1.79	1.26	1.6	1.4
    0.40    0.18	1.39	1.08	0.9	1.2
    0.00   -0.50	1.39	1.58	1.3	1.7
   -0.05    0.04	1.44	1.54	1.2	1.5
   -0.29   -0.45	1.73	1.99	1.5	2.1
   -0.05    0.07	1.78	1.92	1.5	2.0
   -0.09   -0.04	1.87	1.96	1.6	2.0
   -0.40   -0.45	2.27	2.41	1.9	2.5
    0.18   -0.11	2.09	2.52	1.9	2.5
   -0.35   -0.26	2.44	2.78	2.1	2.9
find move		addiert		auto
